Name,Topic,Notes,AL,AK,AS,AZ,AR,CA,CO,CT,DE,DC,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
No fee,Background Checks,,Fully Implemented,Fully Implemented,,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Not Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented
No notarized or witnessed signature,Background Checks,,Not Implemented,Fully Implemented,,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented
Accepts attestation of consent,Background Checks,,Not Implemented,Not Implemented,,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Partially Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented
General inbox for receiving requests,Background Checks,,Fully Implemented,Fully Implemented,,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Partially Implemented,Partially Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented
Accept electronic requests,Background Checks,,Not Implemented,Fully Implemented,,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Partially Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Not Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Partially Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented
Ask youth about their kin,Kin Finding,,NA,NA,NA,NA,NA,NA,Not Implemented,NA,NA,Not Implemented,NA,NA,NA,Not Implemented,NA,NA,Not Implemented,NA,NA,NA,NA,NA,Not Implemented,NA,Not Implemented,NA,NA,NA,NA,NA,NA,Not Implemented,NA,Partially Implemented,NA,NA,NA,Not Implemented,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,Partially Implemented,Not Implemented,NA,NA,NA
Expansive legal definition of kin,Kin Finding,,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,NA,NA,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Fully Implemented,Not Implemented,Fully Implemented,Fully Implemented,Fully Implemented,NA,Fully Implemented,NA
Require senior staff sign-off for non-kin placements,Kin Finding,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fully Implemented,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,Not Implemented,NA,NA,NA,NA
Maintain a shared list of kin,Kin Finding,,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dedicated kin-finding responsibility,Kin Finding,,NA,NA,NA,NA,NA,Partially Implemented,Not Implemented,NA,NA,Not Implemented,NA,NA,NA,Not Implemented,NA,NA,Not Implemented,NA,NA,NA,NA,NA,Not Implemented,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,Not Implemented,NA,NA,NA,NA,NA,Not Implemented,NA,NA,NA,NA,Not Implemented,NA,NA,NA,NA,NA,NA,Not Implemented,Partially Implemented,NA,NA,NA
Use social media to find kin,Kin Finding,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Implemented,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,Partially Implemented,Partially Implemented,NA,NA,NA
Use a variety of contact methods,Kin Finding,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partially Implemented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fully Implemented,NA,NA,NA,NA,NA,NA,Partially Implemented,Partially Implemented,NA,NA,NA